Token ID,Name,Rarity Score,Background,Base,Visor,Accent,Effects
681,"Alliance Forge Commander Helmet #681",148.33,Nebula Red,Heavy Helmet,Holographic,Forge Emblem,Quantum Distortion
947,"Alliance Forge Commander Helmet #947",140.0,Deep Black,Elite Helmet,Red Tint,Forge Emblem,Quantum Distortion
257,"Alliance Forge Commander Helmet #257",131.5,Solar Yellow,Legendary Helmet,Blue Tint,Energy Lines,Quantum Distortion
413,"Alliance Forge Commander Helmet #413",130.83,Nebula Red,Heavy Helmet,Holographic,None,Quantum Distortion
165,"Alliance Forge Commander Helmet #165",130.36,Nebula Red,Standard Helmet,Clear Visor,Forge Emblem,Quantum Distortion
910,"Alliance Forge Commander Helmet #910",129.0,Cosmic Purple,Standard Helmet,Holographic,None,Quantum Distortion
392,"Alliance Forge Commander Helmet #392",122.86,Nebula Red,Legendary Helmet,Clear Visor,None,Quantum Distortion
966,"Alliance Forge Commander Helmet #966",120.0,Space Blue,Elite Helmet,Red Tint,Alliance Insignia,Quantum Distortion
900,"Alliance Forge Commander Helmet #900",119.83,Cosmic Purple,Elite Helmet,Gold Tint,None,Quantum Distortion
457,"Alliance Forge Commander Helmet #457",118.69,Deep Black,Heavy Helmet,Clear Visor,None,Quantum Distortion
922,"Alliance Forge Commander Helmet #922",117.69,Cosmic Purple,Standard Helmet,Clear Visor,Energy Lines,Quantum Distortion
733,"Alliance Forge Commander Helmet #733",113.0,Cosmic Purple,Standard Helmet,Blue Tint,None,Quantum Distortion
635,"Alliance Forge Commander Helmet #635",112.33,Space Blue,Standard Helmet,Blue Tint,None,Quantum Distortion
880,"Alliance Forge Commander Helmet #880",110.33,Nebula Red,Mythic Helmet,Void Visor,Forge Emblem,None
884,"Alliance Forge Commander Helmet #884",92.86,Deep Black,Mythic Helmet,Clear Visor,Battle Scars,Plasma Field
915,"Alliance Forge Commander Helmet #915",91.19,Solar Yellow,Mythic Helmet,Clear Visor,Alliance Insignia,Plasma Field
918,"Alliance Forge Commander Helmet #918",78.5,Cosmic Purple,Mythic Helmet,Holographic,None,None
621,"Alliance Forge Commander Helmet #621",76.67,Solar Yellow,Mythic Helmet,Gold Tint,Alliance Insignia,Particle Glow
745,"Alliance Forge Commander Helmet #745",75.67,Deep Black,Mythic Helmet,Blue Tint,Alliance Insignia,Particle Glow
802,"Alliance Forge Commander Helmet #802",74.36,Cosmic Purple,Mythic Helmet,Clear Visor,Command Stripes,Particle Glow
291,"Alliance Forge Commander Helmet #291",73.33,Space Blue,Mythic Helmet,Red Tint,Battle Scars,Tactical HUD
172,"Alliance Forge Commander Helmet #172",72.5,Space Blue,Standard Helmet,Void Visor,Energy Lines,Plasma Field
744,"Alliance Forge Commander Helmet #744",71.19,Space Blue,Mythic Helmet,Clear Visor,Battle Scars,Tactical HUD
783,"Alliance Forge Commander Helmet #783",71.19,Space Blue,Mythic Helmet,Clear Visor,Energy Lines,Energy Aura
925,"Alliance Forge Commander Helmet #925",71.19,Solar Yellow,Mythic Helmet,Clear Visor,Alliance Insignia,Particle Glow
156,"Alliance Forge Commander Helmet #156",71.17,Space Blue,Legendary Helmet,Void Visor,Forge Emblem,None
494,"Alliance Forge Commander Helmet #494",70.69,Space Blue,Mythic Helmet,Clear Visor,Command Stripes,None
858,"Alliance Forge Commander Helmet #858",70.67,Nebula Red,Mythic Helmet,Blue Tint,Battle Scars,Energy Aura
944,"Alliance Forge Commander Helmet #944",70.33,Nebula Red,Mythic Helmet,Gold Tint,Battle Scars,None
716,"Alliance Forge Commander Helmet #716",70.19,Cosmic Purple,Mythic Helmet,Clear Visor,Energy Lines,Particle Glow
814,"Alliance Forge Commander Helmet #814",69.83,Cosmic Purple,Elite Helmet,Void Visor,None,Plasma Field
407,"Alliance Forge Commander Helmet #407",69.17,Space Blue,Mythic Helmet,Gold Tint,None,Particle Glow
673,"Alliance Forge Commander Helmet #673",69.17,Solar Yellow,Standard Helmet,Void Visor,Forge Emblem,Energy Aura
719,"Alliance Forge Commander Helmet #719",68.17,Nebula Red,Mythic Helmet,Blue Tint,None,Energy Aura
871,"Alliance Forge Commander Helmet #871",68.17,Solar Yellow,Mythic Helmet,Blue Tint,None,Particle Glow
994,"Alliance Forge Commander Helmet #994",67.67,Space Blue,Mythic Helmet,Blue Tint,Energy Lines,None
